"Jack of Fables, Vol. 1: The (Nearly) Great Escape",Bill Willingham|(Writer),"3.60 avg rating — 4,865 ratings",False,
"Jaka's Story (Cerebus, #5)",Dave Sim,"4.09 avg rating — 1,076 ratings",False,
James Joyce: Portrait of a Dubliner,Alfonso Zapico,"3.84 avg rating — 1,095 ratings",False,
Jamilti and Other Stories,Rutu Modan,"3.87 avg rating — 1,114 ratings",False,
"Jane, the Fox & Me",Fanny Britt,"3.99 avg rating — 10,821 ratings",False,
Je Ne Sais Quoi: The Adventures of a French Woman in London,Lucie Arnoux,3.75 avg rating — 85 ratings,False,
"Jellaby (Jellaby, #1)",Kean Soo,"3.99 avg rating — 4,643 ratings",False,
Jennifer Strange,Cat Scully|(Author/Illustrator),3.94 avg rating — 111 ratings,False,
Jenny Zero,Dave Dwonch,3.30 avg rating — 69 ratings,False,
"Jessica Jones: Alias, Vol. 4 (Jessica Jones: Alias, #4)",Brian Michael Bendis,"4.36 avg rating — 4,048 ratings",False,
Jew Gangster: A Father's Admonition,Joe Kubert,3.41 avg rating — 186 ratings,False,
Jim Butcher's The Dresden Files: Bigfoot (Jim Butcher's The Dresden Files: Complete Series),Jim Butcher,4.26 avg rating — 328 ratings,False,
Jim Henson's Tale of Sand,Jim Henson,"3.72 avg rating — 3,361 ratings",False,
Jimbo: Adventures in Paradise,Gary Panter,4.21 avg rating — 170 ratings,False,
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,"4.08 avg rating — 24,162 ratings",False,
Jinx,Brian Michael Bendis,3.71 avg rating — 947 ratings,False,
"JLA, Vol. 1: New World Order",Grant Morrison,"3.97 avg rating — 4,199 ratings",False,
JLA: Earth 2,Grant Morrison,"3.95 avg rating — 6,388 ratings",False,
Jla: League of One,Christopher Moeller,3.76 avg rating — 935 ratings,False,
JLA: Year One,Mark Waid,"3.91 avg rating — 2,791 ratings",False,
Jo: A Graphic Novel,Kathleen Gros,"3.68 avg rating — 1,730 ratings",False,
"Jo: An Adaptation of Little Women (Sort Of) (Sort of Adaptations, #2)",Kathleen Gros,"3.68 avg rating — 1,730 ratings",False,
Joe Death and the Graven Image,Benjamin Schipper,3.23 avg rating — 90 ratings,False,
Joe the Barbarian,Grant Morrison|(Writer),"3.75 avg rating — 3,445 ratings",False,
"John Constantine: Hellblazer, Vol. 1: Marks of Woe",Simon Spurrier,"4.09 avg rating — 1,263 ratings",False,
"John Constantine: Hellblazer, Vol. 2: The Best Version of You",Simon Spurrier,4.30 avg rating — 738 ratings,False,
Johnny Cash: I See a Darkness,Reinhard Kleist,"3.97 avg rating — 1,795 ratings",False,
Johnny the Homicidal Maniac: Director's Cut,Jhonen Vásquez,"4.34 avg rating — 10,091 ratings",False,
"JoJo's Bizarre Adventure: Part 1—Phantom Blood, Vol. 1 (Jononium, #1)",Hirohiko Araki,"4.07 avg rating — 9,257 ratings",False,
Joker,Brian Azzarello,"4.03 avg rating — 34,876 ratings",False,
Jonna and the Unpossible Monsters Vol. 2 (2),Chris Samnee,3.72 avg rating — 160 ratings,False,
Joseph Smith and the Mormons: A Graphic Biography,Noah Van Sciver,4.05 avg rating — 438 ratings,False,
Journey Into Mexico: Graphic Novel - The Revenge of Supay,Alex Grand,4.94 avg rating — 16 ratings,False,
JSA: The Liberty Files,Dan Jolley,3.91 avg rating — 423 ratings,False,
Judge Dredd: The Complete Case Files 01,John Wagner,"3.81 avg rating — 2,368 ratings",False,
Jukebox,Nidhi Chanani,"3.63 avg rating — 1,713 ratings",False,
Julia's House Goes Home,Ben Hatke,4.36 avg rating — 357 ratings,False,
Julia's House Moves On,Ben Hatke,4.17 avg rating — 698 ratings,False,
Julio's Day,Gilbert Hernández,"3.71 avg rating — 1,070 ratings",False,
Jungle Girl Omnibus,Frank Cho,3.35 avg rating — 156 ratings,False,
"Jungle Juice, Vol. 3 (Jungle Juice, #3)",Hyeong Eun,4.56 avg rating — 64 ratings,False,
"Junkwraith (Junkwraith, 1)",Ellinor Richey,3.33 avg rating — 852 ratings,False,
"Jupiter's Legacy, Vol. 5",Mark Millar|(Writer),3.49 avg rating — 222 ratings,False,
Just Pretend,Tori Sharp,"3.65 avg rating — 1,433 ratings",False,
Just Roll with It,Veronica Agarwal,"4.17 avg rating — 2,131 ratings",False,
Justice League of America: The Nail,Alan Davis,"3.85 avg rating — 1,664 ratings",False,
"Justice League, Volume 1: Origin",Geoff Johns,"3.97 avg rating — 18,123 ratings",False,
"Justice Society of America, Vol. 1: The New Golden Age",Geoff Johns,3.75 avg rating — 244 ratings,False,
"Justice, Volume 1",Jim Krueger,"4.18 avg rating — 12,129 ratings",False,
"Kabuki, Vol. 1: Circle of Blood (Kabuki, #1)",David W. Mack,"4.20 avg rating — 1,978 ratings",False,
Kafka,David Zane Mairowitz,"4.05 avg rating — 3,859 ratings",False,
Kaiju Score Vol. 2: Steal From The Gods,James Patrick,3.33 avg rating — 3 ratings,False,
"Kamandi, the Last Boy on Earth Omnibus, Vol. 1",Jack Kirby,4.37 avg rating — 259 ratings,False,
Kampung Boy,Lat,"4.00 avg rating — 1,666 ratings",False,
Karen's Kittycat Club (Baby-Sitters Little Sister Graphic Novels #4),Katy Farina|(Illustrator),"4.19 avg rating — 3,347 ratings",False,
Karen's Roller Skates (Baby-Sitters Little Sister Graphic Novels #2),Katy Farina|(Illustrator),"4.30 avg rating — 6,736 ratings",False,
Karmen,Guillem March,"4.10 avg rating — 1,125 ratings",False,
"Katie the Catsitter (Katie the Catsitter, #1)",Colleen A.F. Venable,"4.19 avg rating — 4,243 ratings",False,
Kaya,,,False,
"Kaya, Vol. 1",Wes Craig|(Writer/Illustrator),3.73 avg rating — 274 ratings,False,
Keeper of the Lost Cities The Graphic Novel Part 1: Volume 1,Celina Frenn|(Adapted by),"4.12 avg rating — 3,644 ratings",False,
Keeper's of the Maser,,,False,
Keeping Two,Jordan Crane,"3.61 avg rating — 1,832 ratings",False,
Kent State: Four Dead in Ohio,Derf Backderf,"4.47 avg rating — 3,779 ratings",False,
Kerry and the Knight of the Forest,Andi Watson,3.70 avg rating — 898 ratings,False,
Kick-Ass,Mark Millar,"4.06 avg rating — 40,837 ratings",False,
Kick-Ass 2,"John Romita, Jr.","3.86 avg rating — 9,515 ratings",False,
Kick-Ass 2 Prelude: Hit-Girl,Mark Millar|(Writer),"3.90 avg rating — 3,467 ratings",False,
Kick-Ass 3,Mark Millar|(Writer),"3.98 avg rating — 2,837 ratings",False,
Kiki de Montparnasse,Catel,"3.91 avg rating — 3,448 ratings",False,
"Kill or be Killed, Vol. 1",Ed Brubaker,"4.11 avg rating — 5,525 ratings",False,
Kill Your Boyfriend,Grant Morrison,"3.54 avg rating — 1,442 ratings",False,
Killer Queens,David M. Booher,3.69 avg rating — 216 ratings,False,
Killing Red Sonja,Mark   Russell,3.06 avg rating — 48 ratings,False,
Killing Stalking: Deluxe Edition Vol. 1,Koogi,"3.86 avg rating — 5,058 ratings",False,
Kinderland,Mawil,3.95 avg rating — 676 ratings,False,
Kindred: A Graphic Novel Adaptation,Damian Duffy|(Adapted by),"4.19 avg rating — 10,484 ratings",False,
"King Cheer (Arden High, #2)",Molly Horton Booth,3.30 avg rating — 489 ratings,False,
King City,Brandon Graham,"4.03 avg rating — 2,287 ratings",False,
King in Black,Donny Cates,"3.95 avg rating — 1,288 ratings",False,
King of the Flies Volume 1,Mezzo,3.76 avg rating — 278 ratings,False,
King Ottokar's Sceptre (Tintin #8),Hergé,"4.03 avg rating — 12,564 ratings",False,
Kingdom Come,Mark Waid,"4.26 avg rating — 63,597 ratings",False,
"Kiss and Tell: A Romantic Résumé, Ages 0 to 22",MariNaomi,"3.75 avg rating — 1,238 ratings",False,
Kisses for Jet,Joris Bas Backer,3.50 avg rating — 830 ratings,False,
Kitty Sweet Tooth,Abby Denson,3.70 avg rating — 196 ratings,False,
Klik Klik Boom (1),Doug Wagner,3.54 avg rating — 94 ratings,False,
Knights of Sidonia 1 (Knights of Sidonia #1),Tsutomu Nihei,"3.70 avg rating — 1,664 ratings",False,
Kodi,Jared  Cullum,"4.28 avg rating — 2,196 ratings",False,
"Komi Can’t Communicate, Vol. 1 (Komi Can't Communicate, #1)",Tomohito Oda,"4.14 avg rating — 18,596 ratings",False,
"Krazy and Ignatz, 1929-1930: A Mice, a Brick, a Lovely Night",George Herriman,4.56 avg rating — 197 ratings,False,
"L'Enfer, le Silence (Blacksad, #4)",Juan Díaz Canales|(Scenario),"4.20 avg rating — 6,278 ratings",False,
L'Esprit de Lewis,,,False,
"L'œuf des ténèbres (La Quête de l'oiseau du temps, #4)",Serge Le Tendre,4.24 avg rating — 454 ratings,False,
La Bombe,Alcante,"4.56 avg rating — 1,777 ratings",False,
"La conque de Ramor (La Quête de l'oiseau du temps, #1)",Serge Le Tendre,3.98 avg rating — 793 ratings,False,
La Fille sous la dunette (Les Passagers du Vent #1),François Bourgeon,4.13 avg rating — 623 ratings,False,
"La Guerre éternelle, Tome 1: Soldat Mandella",Marvano,4.22 avg rating — 149 ratings,False,
"La Magicienne trahie (Thorgal, #1)",Grzegorz Rosiński|(Dessinateur),"3.92 avg rating — 1,940 ratings",False,
La page blanche,Boulet,"3.72 avg rating — 2,245 ratings",False,
La Perdida,Jessica Abel,"3.31 avg rating — 2,166 ratings",False,
"La Tour (Les Cités obscures, #3)",François Schuiten,4.17 avg rating — 554 ratings,False,
"Lady Killer, Volume 1",Joëlle Jones|(Writer/Illustrator),"3.97 avg rating — 7,167 ratings",False,
Lady Mechanika Vol 6: Sangre,Joe Benítez,4.19 avg rating — 332 ratings,False,
Lady Mechanika Vol 7: The Monster of the Ministry of Hell,Joe Benítez,4.26 avg rating — 151 ratings,False,
Ladyhoppers,Sarah Thérèse Pelletier,3.78 avg rating — 23 ratings,False,
Laika,Nick Abadzis,"3.99 avg rating — 6,182 ratings",False,
Land of the Dead: Lessons from the Underworld on Storytelling and Living,Brian  McDonald,4.23 avg rating — 190 ratings,False,
Last Dance,Hanna Schroy,3.64 avg rating — 227 ratings,False,
Last On His Feet: Jack Johnson and the Battle of the Century,Youssef Daoudi|(Poetics),4.39 avg rating — 232 ratings,False,
"Last Pick: Rise Up (Last Pick, #3)",Jason Walz,4.20 avg rating — 281 ratings,False,
"Last Song (Last Song, #3)",Holly Interlandi,5.00 avg rating — 1 rating,False,
"Laurell K. Hamilton's Anita  Blake, Vampire Hunter: The First Death",Laurell K. Hamilton,"4.12 avg rating — 5,098 ratings",False,
"Laurell K. Hamilton's Anita Blake, Vampire Hunter: Guilty Pleasures vol 1",Laurell K. Hamilton,"4.20 avg rating — 8,611 ratings",False,
Layers: A Memoir,Pénélope Bagieu,"4.24 avg rating — 4,216 ratings",False,
"Lazarus, Vol. 1: Family",Greg Rucka,"3.95 avg rating — 11,371 ratings",False,
"Lazarus, Vol. 6: Fracture I",Greg Rucka,4.11 avg rating — 883 ratings,False,
Le bleu est une couleur chaude,Jul Maroh,"3.90 avg rating — 34,000 ratings",False,
Le Cat Tome 2: Le Retour du Chat,Philippe Geluck,3.78 avg rating — 49 ratings,False,
Le Grand Pouvoir du Chninkel,Jean Van Hamme,"4.23 avg rating — 1,335 ratings",False,
"Le Rige (La Quête de l'oiseau du temps, #3)",Serge Le Tendre,4.19 avg rating — 456 ratings,False,
"Le temple de l'oubli (La Quête de l'oiseau du temps, #2)",Serge Le Tendre,4.00 avg rating — 435 ratings,False,
Legend of the Fire Princess (She-Ra Graphic Novel #1),Gigi D.G.,"3.99 avg rating — 1,767 ratings",False,
Legends from Castle Grayskull (He-Man And the Masters of the Universe: Graphic Novel),Amanda Deibert,3.32 avg rating — 22 ratings,False,
Lemonade Code (1),Jarod Pratt,3.16 avg rating — 118 ratings,False,
"Les Années douces, tome 1",Jirō Taniguchi,3.73 avg rating — 738 ratings,False,
"Les Années douces, tome 2",Jirō Taniguchi,3.79 avg rating — 561 ratings,False,
"Les Archers (Thorgal, #9)",Grzegorz Rosiński|(Dessinateur),"4.34 avg rating — 1,255 ratings",False,
Les Indes fourbes,Alain Ayroles|(Scénario),"4.44 avg rating — 2,198 ratings",False,
Les Misérables,Stacy King|(Adaptor),"4.11 avg rating — 7,792 ratings",False,
"Les murailles de Samaris (Les Cités obscures, #1)",François Schuiten|(Illustrator),3.93 avg rating — 950 ratings,False,
Let There Be Light,Liana Finck,4.04 avg rating — 768 ratings,False,
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)",Erika Moen,"4.09 avg rating — 1,082 ratings",False,
"Liar Game, Volume 1 (Liar Game, #1)",Shinobu Kaitani,"4.19 avg rating — 2,700 ratings",False,
Liberated: The Radical Art and Life of Claude Cahun,Kaz Rowe,4.43 avg rating — 279 ratings,False,
Liberators: Super Indy,Alex Letner,4.70 avg rating — 47 ratings,False,
Life Sucks,Jessica Abel,"3.43 avg rating — 1,709 ratings",False,
Life With Mr. Dangerous,Paul Hornschemeier,"3.52 avg rating — 1,336 ratings",False,
Light Brigade,Peter J. Tomasi,3.68 avg rating — 386 ratings,False,
Light Carries On,Ray Nadine,3.84 avg rating — 415 ratings,False,
Lighter than My Shadow,Katie Green,"4.40 avg rating — 6,497 ratings",False,
"Lights (Sheets, #3)",Brenna Thummler,"4.27 avg rating — 3,322 ratings",False,
Like A Velvet Glove Cast In Iron,Daniel Clowes,"4.06 avg rating — 8,217 ratings",False,
Lily the Thief,Janne Kukkonen,"3.76 avg rating — 1,078 ratings",False,
"Listen, Beautiful Márcia",Marcello Quintanilha,4.07 avg rating — 852 ratings,False,
Little Fish: A Memoir from a Different Kind of Year,Ramsey Beyer,"3.48 avg rating — 1,434 ratings",False,
Living With Viola,Rosena Fung,"4.17 avg rating — 1,863 ratings",False,
Lizard in a Zoot Suit,Marco Finnegan,3.57 avg rating — 168 ratings,False,
Lo and Behold (Lo and Behold #1),Wendy Mass,"4.14 avg rating — 1,225 ratings",False,
Lobo: Big Fraggin Compedium,,,False,
Local,Brian Wood,"3.98 avg rating — 4,000 ratings",False,
Locas,Jaime Hernández,"4.41 avg rating — 2,882 ratings",False,
"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,"4.15 avg rating — 97,537 ratings",False,
"Locke & Key, Vol. 2: Head Games",Joe Hill,"4.31 avg rating — 45,910 ratings",False,
"Locke & Key, Vol. 3: Crown of Shadows",Joe Hill,"4.39 avg rating — 39,753 ratings",False,
"Locke & Key, Vol. 4: Keys to the Kingdom",Joe Hill,"4.38 avg rating — 35,705 ratings",False,
"Locke & Key, Vol. 5: Clockworks",Joe Hill,"4.47 avg rating — 33,798 ratings",False,
"Locke & Key, Vol. 6: Alpha & Omega",Joe Hill,"4.48 avg rating — 31,355 ratings",False,
Locke & Key: Heaven and Earth,Joe Hill|(Writer),"3.83 avg rating — 3,162 ratings",False,
Locke & Key: Small World,Joe Hill|(Writer),"3.88 avg rating — 2,479 ratings",False,
Locke & Key: The Golden Age,Joe Hill,"4.40 avg rating — 1,753 ratings",False,
Logan Likes Mary Anne!: A Graphic Novel (The Baby-Sitters Club Graphic Novels #8),Gale Galligan|(Illustrator),"4.37 avg rating — 12,835 ratings",False,
Logicomix: An Epic Search for Truth,Apostolos Doxiadis,"4.05 avg rating — 19,751 ratings",False,
Lois Lane and the Friendship Challenge,Grace Ellis,3.25 avg rating — 489 ratings,False,
Lois Lane Enemy of the People,Greg Rucka,3.59 avg rating — 640 ratings,False,
"Loki: Agent of Asgard, Vol. 1: Trust Me",Al Ewing,"4.10 avg rating — 6,437 ratings",False,
"Lone Ranger, The:  Omnibus Vol 1",,,False,
"Lone Wolf and Cub, Vol. 1: The Assassin's Road (Lone Wolf and Cub, #1)",Kazuo Koike,"4.23 avg rating — 7,489 ratings",False,
Long Distance,Whitney Gardner,"3.71 avg rating — 1,983 ratings",False,
"Lord of Goblins, Vol. 1",Michiel Werbrouck,3.88 avg rating — 224 ratings,False,
"Lore Olympus, Vol. 1 (Lore Olympus, #1)",Rachel  Smythe,"4.26 avg rating — 143,873 ratings",False,
"Lore Olympus: Volume Five (Lore Olympus, #5)",Rachel  Smythe,"4.47 avg rating — 21,927 ratings",False,
"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel  Smythe,"4.49 avg rating — 32,700 ratings",False,
"Lore Olympus: Volume Seven (Lore Olympus, #7)",Rachel  Smythe,"4.50 avg rating — 7,475 ratings",False,
"Lore Olympus: Volume Six (Lore Olympus, #6)",Rachel  Smythe,"4.51 avg rating — 14,898 ratings",False,
"Lore Olympus: Volume Six (Lore Olympus, #6)",Rachel  Smythe,"4.51 avg rating — 14,898 ratings",False,
"Lore Olympus: Volume Three (Lore Olympus, #3)",Rachel  Smythe,"4.48 avg rating — 45,141 ratings",False,
"Lore Olympus: Volume Two (Lore Olympus, #2)",Rachel  Smythe,"4.44 avg rating — 61,964 ratings",False,
Lost & Found,Shaun Tan,"4.20 avg rating — 8,778 ratings",False,
Lost at Sea,Bryan Lee O'Malley,"3.72 avg rating — 15,407 ratings",False,
Lost Girls,Alan             Moore,"3.60 avg rating — 6,000 ratings",False,
Louis Riel: A Comic-Strip Biography,Chester Brown,"3.87 avg rating — 5,704 ratings",False,
"Love Everlasting Volume 2: Too Hip for Love (Love Everlasting, #2)",Tom King,3.92 avg rating — 300 ratings,False,
Lovecraft Vol. 1: Unknown Kadath (Lovecraft: Unknown Kadath),Florentino Flórez,3.75 avg rating — 64 ratings,False,
"Loving, Ohio",Matthew Erman,3.58 avg rating — 330 ratings,False,
LOW,Remender,,False,
Low Moon,Jason,"4.05 avg rating — 2,632 ratings",False,
"Low, Vol. 5: Light Brings Light",Rick Remender,3.83 avg rating — 519 ratings,False,
"Lucifer, Book One",Mike Carey,"4.22 avg rating — 4,536 ratings",False,
"Lucifer, Vol. 1: Devil in the Gateway",Mike Carey,"4.11 avg rating — 13,993 ratings",False,
"Lucifer, Vol. 2: The Divine Tragedy",Dan Watters,4.16 avg rating — 525 ratings,False,
"Lucifer, Vol. 3: The Wild Hunt",Dan Watters,4.10 avg rating — 366 ratings,False,
"Lucifer, Vol. 4: The Devil at Heart",Dan Watters,4.17 avg rating — 284 ratings,False,
"Lucifer, Volume 1: Cold Heaven",Holly Black,"3.78 avg rating — 1,671 ratings",False,
"Lucifer: The Morningstar Option (Lucifer: The Morningstar Option, #1-3)",Mike Carey,"4.16 avg rating — 1,014 ratings",False,
"Lucy Claire: Redemption, Vol. 1",John Upchurch,3.87 avg rating — 75 ratings,False,
Lucy in the Sky,Kiara Brinkman,3.75 avg rating — 435 ratings,False,
Lulu Anew,Étienne Davodeau,3.76 avg rating — 764 ratings,False,
"Lumberjanes, Vol. 1: Beware the Kitten Holy",N.D. Stevenson,"3.92 avg rating — 77,242 ratings",False,
"Lumberjanes, Vol. 13: Indoor Recess","Kat Leyh|(Writer, Creator)","4.04 avg rating — 2,241 ratings",False,
"Lumberjanes, Vol. 14: X Marks the Spot",Shannon Watters,"4.02 avg rating — 1,872 ratings",False,
Lumberjanes: True Colors,Lilah Sturges,4.04 avg rating — 447 ratings,False,
"Lumberjanes: Up All Night (Lumberjanes, #1)",N.D. Stevenson,"4.03 avg rating — 12,097 ratings",False,
Lunar New Year Love Story,Gene Luen Yang,"4.40 avg rating — 4,687 ratings",False,
"Madame Xanadu, Volume 1: Disenchanted",Matt Wagner,"3.86 avg rating — 1,991 ratings",False,
Made in Korea,Jeremy Holt,3.29 avg rating — 757 ratings,False,
Madman Gargantua,Mike Allred,4.51 avg rating — 126 ratings,False,
Madrox: Multiple Choice,Peter David,"4.07 avg rating — 1,455 ratings",False,
Maestro: Symphony in a Gamma Key,Peter David,3.88 avg rating — 462 ratings,False,
"Mage, Book One: The Hero Discovered",Matt Wagner,4.02 avg rating — 667 ratings,False,
"Maggie the Mechanic (Locas, #1)",Jaime Hernández,"4.11 avg rating — 2,557 ratings",False,
Maids,Katie Skelly,"3.18 avg rating — 1,258 ratings",False,
"Maison Ikkoku, Volume 1 (Maison Ikkoku, #1)",Rumiko Takahashi,3.87 avg rating — 736 ratings,False,
"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",Scott McCloud,"4.35 avg rating — 9,295 ratings",False,
